X = 23.5     , Y = 15.0     , Z = 9.0
X = 17.7     , Y = 15.7     , Z = 11.6
X = 8.8      , Y = 16.3     , Z = 14.1
X = 0.0      , Y = 16.4     , Z = 14.9
X = -7.2     , Y = 16.3     , Z = 14.4
X = -16.9    , Y = 15.8     , Z = 11.9
X = -29.5    , Y = 13.9     , Z = 5.5
X = -35.9    , Y = 12.0     , Z = 0.4
X = -40.8    , Y = 10.6     , Z = -5.5
X = -45.7    , Y = 8.5      , Z = -14.7
X = -48.5    , Y = 6.3      , Z = -25.7
X = -48.6    , Y = 4.7      , Z = -35.5
X = -42.0    , Y = 2.8      , Z = -54.6
X = -27.6    , Y = 1.9      , Z = -69.6
X = -19.2    , Y = 1.7      , Z = -74.1
X = -2.4     , Y = 1.6      , Z = -77.9
X = 0.0      , Y = 1.6      , Z = -78.0
